ID,Predicted_Overall_Experience
99900001,delighted
99900002,disappointed
99900003,delighted
99900004,disappointed
99900005,delighted
99900006,disappointed
99900007,disappointed
99900008,delighted
99900009,disappointed
99900010,disappointed
99900011,disappointed
99900012,delighted
99900013,disappointed
99900014,disappointed
99900015,disappointed
99900016,disappointed
99900017,disappointed
99900018,disappointed
99900019,disappointed
99900020,disappointed
99900021,disappointed
99900022,delighted
99900023,disappointed
99900024,delighted
99900025,disappointed
99900026,disappointed
99900027,delighted
99900028,delighted
99900029,delighted
99900030,disappointed
99900031,delighted
99900032,delighted
99900033,delighted
99900034,delighted
99900035,disappointed
99900036,delighted
99900037,delighted
99900038,delighted
99900039,disappointed
99900040,disappointed
99900041,disappointed
99900042,disappointed
99900043,delighted
99900044,disappointed
99900045,disappointed
99900046,disappointed
99900047,delighted
99900048,delighted
99900049,disappointed
99900050,disappointed
99900051,delighted
99900052,disappointed
99900053,disappointed
99900054,delighted
99900055,disappointed
99900056,disappointed
99900057,disappointed
99900058,delighted
99900059,delighted
99900060,disappointed
99900061,disappointed
99900062,disappointed
99900063,disappointed
99900064,delighted
99900065,disappointed
99900066,disappointed
99900067,disappointed
99900068,disappointed
99900069,delighted
99900070,disappointed
99900071,delighted
99900072,delighted
99900073,delighted
99900074,delighted
99900075,delighted
99900076,delighted
99900077,disappointed
99900078,disappointed
99900079,disappointed
99900080,disappointed
99900081,delighted
99900082,disappointed
99900083,disappointed
99900084,disappointed
99900085,disappointed
99900086,delighted
99900087,disappointed
99900088,disappointed
99900089,delighted
99900090,disappointed
99900091,disappointed
99900092,delighted
99900093,disappointed
99900094,disappointed
99900095,delighted
99900096,delighted
99900097,disappointed
99900098,delighted
99900099,disappointed
99900100,disappointed
99900101,delighted
99900102,disappointed
99900103,delighted
99900104,delighted
99900105,delighted
99900106,disappointed
99900107,disappointed
99900108,delighted
99900109,delighted
99900110,delighted
99900111,delighted
99900112,delighted
99900113,delighted
99900114,disappointed
99900115,delighted
99900116,delighted
99900117,disappointed
99900118,delighted
99900119,delighted
99900120,disappointed
99900121,disappointed
99900122,disappointed
99900123,delighted
99900124,delighted
99900125,disappointed
99900126,disappointed
99900127,disappointed
99900128,disappointed
99900129,disappointed
99900130,disappointed
99900131,disappointed
99900132,disappointed
99900133,delighted
99900134,disappointed
99900135,delighted
99900136,delighted
99900137,delighted
99900138,disappointed
99900139,delighted
99900140,disappointed
99900141,disappointed
99900142,delighted
99900143,disappointed
99900144,disappointed
99900145,disappointed
99900146,delighted
99900147,delighted
99900148,delighted
99900149,delighted
99900150,delighted
99900151,delighted
99900152,disappointed
99900153,delighted
99900154,disappointed
99900155,disappointed
99900156,disappointed
99900157,delighted
99900158,disappointed
99900159,delighted
99900160,delighted
99900161,delighted
99900162,delighted
